id;title_uz;title_ru;content_uz;content_ru;status
1;hub Rustic Sports;program application THX;withdrawal;Peru Representative;false
2;Avon Wyoming Avon;XSS Corporate;B2C;Innovative connecting Vermont;false
3;Indiana;Carolina;task-force;orange Architect;false
4;open-source;withdrawal Wooden Engineer;Fresh Frozen invoice;withdrawal Division fuchsia;true
5;Ball;quantifying Louisiana Ports;Branding generating grey;Incredible;false
6;Loan Soft;generate;View e-services;District Vermont;false
7;Mississippi Fish seize;Litas Implemented copying;streamline full-range Wooden;copy Phased transmitting;false
8;Direct Plastic;Oregon next-generation Kentucky;wireless reciprocal;Investment Creative;false
9;SAS Borders;Gorgeous Loaf;Global functionalities;help-desk Licensed;false
10;online;generation Architect Money;Buckinghamshire;Ghana;false
