id;name_uz;name_ru;sub_name_uz;sub_name_ru;first_course;status
1;Dollar Peru Innovative;infomediaries Specialist;Fantastic;open-source;true;false
2;Sausages;recontextualize navigate;Tasty;generating deposit systems;true;false
3;Rubber JBOD;users;Harbors Toys;indexing;true;true
4;fuchsia;Executive RAM Corporate;Gorgeous deposit;bandwidth Quality;true;false
5;Account;Burundi Account;invoice withdrawal;Bhutan Optimized payment;false;true
6;Zealand;blue;Plastic;THX;true;false
7;reboot transmit;Rubber U.S. Credit;Pants;application;true;true
8;array matrix ubiquitous;pink;neural;Data JBOD;false;true
9;Kids global Small;extend;up;Account generating emulation;true;false
10;Mouse Response;Chicken Regional Loan;web-readiness Falls;Buckinghamshire;false;false
