id;group_no;start_hour;end_hour;capacity;reserved_place;status;jhi_full
1;Hat infrastructures Virginia;2022-12-01T19:05:17;2022-12-01T12:40:04;92476;33023;true;false
2;multi-byte;2022-12-02T04:03:26;2022-12-01T23:38:21;67747;29890;true;false
3;Interactions Intranet Table;2022-12-01T18:47:13;2022-12-02T01:06:57;69421;13889;true;true
4;payment e-commerce Way;2022-12-01T17:25:57;2022-12-01T20:58:55;47854;9894;true;false
5;Vermont;2022-12-01T21:20:57;2022-12-02T02:57:19;2077;38073;false;true
6;Savings workforce;2022-12-01T14:27:39;2022-12-01T18:51:39;1852;7906;false;false
7;parse Chips Dominican;2022-12-02T01:45:05;2022-12-02T02:30:40;45593;47211;false;false
8;mobile plum Unbranded;2022-12-02T04:43:29;2022-12-01T20:25:40;78721;37395;true;false
9;Kiribati hierarchy functionalities;2022-12-02T10:08:04;2022-12-02T01:13:58;64366;85947;false;true
10;seize;2022-12-01T17:09:40;2022-12-01T17:16:55;7540;26981;false;false
