id;title_uz;title_ru;content_uz;content_ru;status
1;Bike hardware Right-sized;bluetooth;Fiji Shirt;lavender orange open-source;true
2;sensor;Infrastructure;repurpose;synthesizing card;false
3;SCSI Auto;back-end;info-mediaries;Granite models;false
4;haptic Chair RAM;Principal;contingency Toys Producer;Gorgeous hacking orchestrate;true
5;back-end Forward;Moldova Tunisian open-source;Small;HTTP;true
6;Clothing sticky Associate;THX adapter firmware;attitude-oriented Bedfordshire;feed;false
7;SSL;evolve withdrawal;Shoes Cambridgeshire Berkshire;Chicken paradigm modular;true
8;Wisconsin orange deposit;Mayotte Baby Mandatory;transmit Awesome;Missouri;false
9;sticky Montana Pike;Throughway Junction Trinidad;architecture schemas;middleware Bedfordshire Account;false
10;Principal;Virtual;Metrics Intelligent;neural Fish Plastic;true
