id;name_uz;name_ru;start_date;end_date;status
1;Wooden;composite Avon Chief;2022-12-01T18:00:24;2022-12-01T20:11:53;true
2;Connecticut;hacking;2022-12-01T20:06:31;2022-12-02T03:46:14;true
3;Sleek;Grocery clicks-and-mortar;2022-12-02T07:06:55;2022-12-01T14:55:00;true
4;granular;Account Organized enterprise;2022-12-02T09:08:10;2022-12-01T16:29:18;false
5;Canyon Inlet;drive;2022-12-02T09:24:15;2022-12-01T22:25:39;false
6;mindshare;Chips Vision-oriented;2022-12-01T22:52:57;2022-12-02T08:05:11;false
7;Officer;mission-critical;2022-12-01T19:25:30;2022-12-01T12:40:57;true
8;AGP;Bike copy;2022-12-01T13:47:22;2022-12-02T03:38:20;false
9;Metal copy Data;Plastic Tuna;2022-12-01T22:53:04;2022-12-01T15:58:58;false
10;Human auxiliary;Mariana GB Cross-platform;2022-12-01T13:41:44;2022-12-01T14:26:25;true
