id;title_uz;title_ru;content_uz;content_ru;status
1;hacking;digital;auxiliary toolset;withdrawal olive;false
2;Account Electronics;Central Berkshire paradigms;Switchable Carolina;Administrator Concrete optical;true
3;Shoes;homogeneous revolutionize Lead;deliverables middleware;invoice PNG Account;false
4;adapter wireless black;Guinea-Bissau local;HDD overriding;connecting;true
5;platforms Representative;Optimization Checking modular;Ridge;hybrid Moldova Wyoming;true
6;rich;Rupee;seize;Yen;true
7;Guyana infrastructures;Oregon Loan Engineer;Configuration solution;wireless Vatu Fords;false
8;generating violet;Lari Games payment;optical Mount deposit;deposit Branding;false
9;Baby TCP;Chair Sleek Plastic;Lake facilitate;Representative convergence;true
10;Incredible;Steel;red;withdrawal Regional;true
