id;title_uz;title_ru;content_uz;content_ru;status
1;withdrawal Avon rich;payment matrices payment;blockchains;Baby bifurcated;true
2;back-end;Central circuit;state Wisconsin withdrawal;Lead Officer Fresh;false
3;optical Squares optical;Shilling Movies;Tasty Handmade Orchestrator;Intelligent programming;true
4;architectures Plastic Engineer;matrix Dynamic Technician;Legacy THX;Concrete;true
5;Borders;Refined compressing;Marino;York Frozen;true
6;initiatives;enhance;GB Toys;card collaboration to;true
7;disintermediate Lodge services;withdrawal Investment;Maryland Congo;SQL;false
8;Oregon Computer;Mouse invoice real-time;model niches;Internal;false
9;Investor Chicken;Borders orchid;hacking Ergonomic pixel;yellow Account;false
10;Wells Unbranded;compressing silver;index bifurcated;Tunisia Mouse;true
